feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Acetatifactor intestinalis 13414_6_67,Acetatifactor intestinalis 20287_6_17,0.91547,pos,0.91547,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor intestinalis AF22-6AC,0.89883,pos,0.89883,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor intestinalis AF22-6AC,0.89756,pos,0.89756,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor intestinalis AM59-13,0.89653,pos,0.89653,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor intestinalis AM59-13,0.91946,pos,0.91946,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor intestinalis AM59-13,0.91139,pos,0.91139,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor intestinalis GCA_014337175,0.9028,pos,0.9028,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor intestinalis GCA_014337175,0.90016,pos,0.90016,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor intestinalis GCA_014337175,0.88994,pos,0.88994,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor intestinalis GCA_014337175,0.91626,pos,0.91626,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor intestinalis OM08-11AC,0.90008,pos,0.90008,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor intestinalis OM08-11AC,0.89549,pos,0.89549,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor intestinalis OM08-11AC,0.90528,pos,0.90528,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor intestinalis OM08-11AC,0.92826,pos,0.92826,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor intestinalis OM08-11AC,0.90967,pos,0.90967,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. 13470_2_92,0.5334,pos,0.5334,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. 13470_2_92,0.49531,pos,0.49531,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. 13470_2_92,0.46369,pos,0.46369,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. 13470_2_92,0.44914,pos,0.44914,0,0
